************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    10
engine_to_start      20
steps                302
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_0       	100ms             	184ms             	69117ms           	72008ms           	58255ms             	|0.900000          	0.933333          	1.000000          	1.000000          	1.000000            	|2                 	3                 	0                 	0                 	0                   	|0.133333          	0.166667          	0.000000          	0.000000          	0.000000            	|20.533333         	20.466667         	19.333333         	19.166667         	19.166667           	|684.444444        	348.888889        	-355.555556       	-361.111111       	-361.111111         	|
0_1       	116ms             	173ms             	70457ms           	70498ms           	57803ms             	|0.900000          	0.900000          	1.000000          	1.000000          	1.000000            	|2                 	2                 	0                 	0                 	0                   	|0.133333          	0.166667          	0.000000          	0.000000          	0.000000            	|18.466667         	18.500000         	18.100000         	17.866667         	18.133333           	|615.555556        	616.666667        	-396.666667       	-404.444444       	-395.555556         	|
0_2       	106ms             	201ms             	70951ms           	73087ms           	62499ms             	|0.900000          	0.866667          	1.000000          	0.966667          	1.000000            	|5                 	2                 	0                 	1                 	0                   	|0.300000          	0.166667          	0.000000          	0.033333          	0.000000            	|20.533333         	20.400000         	19.633333         	19.566667         	19.466667           	|684.444444        	1013.333333       	-345.555556       	-14.444444        	-351.111111         	|
0_3       	100ms             	203ms             	66219ms           	69127ms           	60205ms             	|0.966667          	0.966667          	1.000000          	1.000000          	1.000000            	|1                 	1                 	0                 	0                 	0                   	|0.033333          	0.033333          	0.000000          	0.000000          	0.000000            	|19.700000         	19.633333         	19.033333         	18.966667         	18.900000           	|-10.000000        	-12.222222        	-365.555556       	-367.777778       	-370.000000         	|
0_4       	116ms             	799ms             	77379ms           	86254ms           	60182ms             	|0.866667          	0.966667          	1.000000          	1.000000          	1.000000            	|3                 	1                 	0                 	0                 	0                   	|0.300000          	0.033333          	0.000000          	0.000000          	0.000000            	|20.366667         	19.933333         	19.266667         	19.366667         	19.400000           	|1012.222222       	-2.222222         	-357.777778       	-354.444444       	-353.333333         	|
0_5       	100ms             	2856ms            	89194ms           	86132ms           	70284ms             	|0.966667          	0.966667          	1.000000          	1.000000          	1.000000            	|1                 	1                 	0                 	0                 	0                   	|0.033333          	0.033333          	0.000000          	0.000000          	0.000000            	|19.200000         	20.000000         	18.466667         	18.466667         	18.366667           	|-26.666667        	-0.000000         	-384.444444       	-384.444444       	-387.777778         	|
0_6       	100ms             	192ms             	68197ms           	71486ms           	70719ms             	|0.966667          	0.933333          	1.000000          	1.000000          	1.000000            	|3                 	1                 	0                 	0                 	0                   	|0.100000          	0.066667          	0.000000          	0.000000          	0.000000            	|20.066667         	20.100000         	19.233333         	19.500000         	19.133333           	|2.222222          	336.666667        	-358.888889       	-350.000000       	-362.222222         	|
0_7       	117ms             	217ms             	66668ms           	71765ms           	55578ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|19.233333         	19.700000         	18.266667         	18.366667         	18.266667           	|-358.888889       	-10.000000        	-391.111111       	-387.777778       	-391.111111         	|
0_8       	101ms             	172ms             	73864ms           	78706ms           	59621ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|20.566667         	20.833333         	19.300000         	19.800000         	19.866667           	|-314.444444       	27.777778         	-356.666667       	-340.000000       	-337.777778         	|
0_9       	103ms             	187ms             	67632ms           	74464ms           	58510ms             	|0.966667          	1.000000          	1.000000          	1.000000          	1.000000            	|1                 	0                 	0                 	0                 	0                   	|0.033333          	0.000000          	0.000000          	0.000000          	0.000000            	|19.366667         	18.900000         	18.433333         	18.633333         	18.200000           	|-21.111111        	-370.000000       	-385.555556       	-378.888889       	-393.333333         	|
0_10      	116ms             	180ms             	72056ms           	68705ms           	61079ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|18.133333         	18.066667         	17.600000         	17.533333         	17.633333           	|-395.555556       	-397.777778       	-413.333333       	-415.555556       	-412.222222         	|
0_11      	101ms             	187ms             	69242ms           	70536ms           	65944ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|18.666667         	18.766667         	17.900000         	17.900000         	17.866667           	|-377.777778       	-41.111111        	-403.333333       	-403.333333       	-404.444444         	|
0_12      	100ms             	210ms             	74873ms           	78737ms           	60842ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|21.266667         	21.166667         	19.900000         	19.900000         	20.333333           	|-291.111111       	-294.444444       	-336.666667       	-336.666667       	-322.222222         	|
0_13      	766ms             	192ms             	69948ms           	71301ms           	60762ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|18.000000         	17.866667         	17.200000         	17.333333         	17.366667           	|-400.000000       	-71.111111        	-426.666667       	-422.222222       	-421.111111         	|
0_14      	809ms             	230ms             	70294ms           	70393ms           	64180ms             	|1.000000          	0.933333          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.066667          	0.000000          	0.000000          	0.000000            	|18.266667         	18.633333         	17.800000         	17.700000         	17.566667           	|-391.111111       	287.777778        	-406.666667       	-410.000000       	-414.444444         	|
0_15      	772ms             	171ms             	69565ms           	74183ms           	56608ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|19.933333         	20.333333         	19.633333         	19.500000         	19.566667           	|-335.555556       	-322.222222       	-345.555556       	-350.000000       	-347.777778         	|
0_16      	199ms             	190ms             	61484ms           	64365ms           	57106ms             	|0.966667          	0.966667          	1.000000          	1.000000          	1.000000            	|2                 	2                 	0                 	0                 	0                   	|0.066667          	0.066667          	0.000000          	0.000000          	0.000000            	|18.600000         	18.300000         	17.600000         	17.666667         	17.600000           	|-46.666667        	-56.666667        	-413.333333       	-411.111111       	-413.333333         	|
0_17      	190ms             	189ms             	72050ms           	80353ms           	56396ms             	|0.966667          	1.000000          	1.000000          	1.000000          	1.000000            	|1                 	0                 	0                 	0                 	0                   	|0.033333          	0.000000          	0.000000          	0.000000          	0.000000            	|21.666667         	21.400000         	20.300000         	20.766667         	20.566667           	|55.555556         	-286.666667       	-323.333333       	-307.777778       	-314.444444         	|
0_18      	247ms             	212ms             	75288ms           	72134ms           	60100ms             	|0.866667          	1.000000          	1.000000          	1.000000          	1.000000            	|4                 	0                 	0                 	0                 	0                   	|0.366667          	0.000000          	0.000000          	0.000000          	0.000000            	|18.966667         	18.733333         	17.766667         	17.633333         	17.900000           	|965.555556        	-375.555556       	-407.777778       	-412.222222       	-403.333333         	|
0_19      	173ms             	202ms             	70760ms           	74132ms           	58435ms             	|0.933333          	0.933333          	0.933333          	0.933333          	0.933333            	|3                 	3                 	1                 	3                 	1                   	|0.133333          	0.133333          	0.066667          	0.133333          	0.066667            	|20.066667         	20.366667         	19.466667         	19.733333         	19.733333           	|335.555556        	345.555556        	315.555556        	324.444444        	324.444444          	|
1_0       	374ms             	171ms             	63735ms           	67878ms           	54182ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|20.766667         	20.566667         	18.900000         	19.033333         	19.033333           	|-307.777778       	-314.444444       	-370.000000       	-365.555556       	-365.555556         	|
1_1       	518ms             	247ms             	64358ms           	68163ms           	59337ms             	|0.866667          	0.966667          	1.000000          	1.000000          	1.000000            	|3                 	2                 	0                 	0                 	0                   	|0.333333          	0.066667          	0.000000          	0.000000          	0.000000            	|20.033333         	20.800000         	19.200000         	19.533333         	18.633333           	|1001.111111       	26.666667         	-360.000000       	-348.888889       	-378.888889         	|
1_2       	528ms             	192ms             	66569ms           	68428ms           	60852ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|19.466667         	20.366667         	18.933333         	18.933333         	19.033333           	|-351.111111       	-321.111111       	-368.888889       	-368.888889       	-365.555556         	|
1_3       	514ms             	183ms             	66986ms           	65965ms           	60185ms             	|0.966667          	0.866667          	1.000000          	1.000000          	1.000000            	|2                 	4                 	0                 	0                 	0                   	|0.066667          	0.300000          	0.000000          	0.000000          	0.000000            	|16.633333         	17.866667         	16.066667         	16.100000         	16.166667           	|-112.222222       	928.888889        	-464.444444       	-463.333333       	-461.111111         	|
1_4       	525ms             	187ms             	63819ms           	64446ms           	56872ms             	|0.933333          	0.966667          	1.000000          	1.000000          	1.000000            	|1                 	1                 	0                 	0                 	0                   	|0.066667          	0.033333          	0.000000          	0.000000          	0.000000            	|20.166667         	20.066667         	18.900000         	19.100000         	18.966667           	|338.888889        	2.222222          	-370.000000       	-363.333333       	-367.777778         	|
