************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    30
engine_to_start      40
steps                702
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_0       	2202ms            	2169ms            	1390444ms         	1707455ms         	1220469ms           	|0.700000          	0.657143          	0.771429          	0.728571          	0.814286            	|26                	21                	25                	25                	23                  	|3.671429          	3.228571          	2.814286          	3.342857          	1.985714            	|28.885714         	31.771429         	28.271429         	28.757143         	27.085714           	|2962.857143       	3487.619048       	2228.095238       	2672.857143       	1760.000000         	|
0_1       	3396ms            	7066ms            	1300851ms         	1309714ms         	1239709ms           	|0.728571          	0.742857          	0.871429          	0.842857          	0.914286            	|20                	17                	18                	19                	19                  	|2.857143          	1.800000          	0.900000          	2.000000          	0.942857            	|25.742857         	26.214286         	24.385714         	25.214286         	22.685714           	|2572.380952       	2445.238095       	1098.571429       	1411.904762       	613.333333          	|
0_2       	4007ms            	5658ms            	1010929ms         	1045945ms         	832869ms            	|0.714286          	0.814286          	0.857143          	0.857143          	0.885714            	|14                	15                	15                	11                	16                  	|2.457143          	1.114286          	0.928571          	1.114286          	0.885714            	|24.928571         	25.357143         	23.442857         	24.142857         	21.828571           	|2688.095238       	1702.380952       	1210.000000       	1233.333333       	870.476190          	|
0_3       	2280ms            	7646ms            	1085997ms         	1098228ms         	860271ms            	|0.714286          	0.785714          	0.828571          	0.800000          	0.900000            	|18                	21                	20                	20                	21                  	|2.971429          	1.971429          	1.928571          	2.514286          	1.257143            	|27.100000         	28.942857         	25.885714         	26.071429         	21.828571           	|2760.476190       	2107.619048       	1577.142857       	1869.047619       	727.619048          	|
0_4       	4244ms            	8355ms            	1124389ms         	1227213ms         	912844ms            	|0.657143          	0.757143          	0.800000          	0.800000          	0.857143            	|17                	17                	16                	17                	17                  	|3.071429          	1.571429          	1.700000          	1.771429          	1.385714            	|25.700000         	25.928571         	23.428571         	23.671429         	20.328571           	|3285.238095       	2292.857143       	1780.952381       	1789.047619       	1106.190476         	|
0_5       	2758ms            	5045ms            	1435322ms         	1429226ms         	1047374ms           	|0.800000          	0.800000          	0.885714          	0.885714          	0.928571            	|16                	14                	17                	12                	14                  	|1.571429          	1.057143          	0.928571          	0.785714          	0.571429            	|22.871429         	24.257143         	22.271429         	22.057143         	21.257143           	|1762.380952       	1808.571429       	885.238095        	878.095238        	422.857143          	|
0_6       	2274ms            	6575ms            	1105412ms         	1209527ms         	889650ms            	|0.614286          	0.700000          	0.800000          	0.785714          	0.842857            	|21                	20                	18                	19                	20                  	|4.271429          	2.485714          	2.157143          	2.100000          	1.871429            	|30.071429         	30.657143         	25.885714         	25.457143         	25.571429           	|3859.523810       	3021.904762       	1862.857143       	1991.428571       	1423.809524         	|
0_7       	2651ms            	5622ms            	998333ms          	984820ms          	802234ms            	|0.728571          	0.757143          	0.871429          	0.857143          	0.942857            	|24                	14                	25                	25                	15                  	|3.242857          	1.357143          	1.214286          	1.914286          	0.428571            	|27.342857         	28.628571         	26.228571         	25.442857         	24.057143           	|2625.714286       	2382.857143       	1160.000000       	1276.666667       	373.333333          	|
0_8       	2019ms            	5677ms            	963450ms          	967348ms          	827476ms            	|0.700000          	0.700000          	0.828571          	0.828571          	0.871429            	|25                	24                	24                	25                	26                  	|4.028571          	2.714286          	2.200000          	3.114286          	1.928571            	|26.742857         	28.342857         	24.357143         	25.742857         	25.457143           	|2891.428571       	2944.761905       	1526.190476       	1572.380952       	1134.285714         	|
0_9       	2409ms            	2701ms            	1170519ms         	1249864ms         	988547ms            	|0.685714          	0.657143          	0.785714          	0.814286          	0.814286            	|25                	26                	22                	24                	25                  	|3.657143          	3.357143          	2.128571          	2.185714          	2.257143            	|28.000000         	30.028571         	26.128571         	24.200000         	24.557143           	|3076.190476       	3429.523810       	2013.809524       	1663.809524       	1675.714286         	|
