********************************************************************************************************************************************************************************************************
basic info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
********************************************************************************************************************************************************************************************************
resource availability
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
********************************************************************************************************************************************************************************************************
engine info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	6                   	0                   	1                   	30                  	
1                   	2                   	1                   	1                   	30                  	
2                   	5                   	1                   	1                   	30                  	
3                   	7                   	0                   	1                   	30                  	
4                   	0                   	1                   	1                   	30                  	
5                   	2                   	1                   	1                   	30                  	
6                   	6                   	1                   	1                   	30                  	
7                   	8                   	0                   	1                   	30                  	
8                   	7                   	0                   	1                   	30                  	
9                   	1                   	0                   	1                   	30                  	
10                  	6                   	0                   	1                   	30                  	
11                  	0                   	1                   	1                   	30                  	
12                  	6                   	1                   	1                   	30                  	
13                  	9                   	1                   	1                   	30                  	
14                  	7                   	0                   	1                   	30                  	
15                  	0                   	0                   	1                   	30                  	
16                  	0                   	1                   	1                   	30                  	
17                  	3                   	0                   	1                   	30                  	
18                  	7                   	1                   	1                   	30                  	
19                  	5                   	1                   	1                   	30                  	
20                  	8                   	1                   	1                   	30                  	
21                  	6                   	1                   	1                   	30                  	
22                  	3                   	1                   	1                   	30                  	
23                  	4                   	1                   	1                   	30                  	
24                  	5                   	0                   	1                   	30                  	
25                  	1                   	1                   	1                   	30                  	
26                  	2                   	0                   	1                   	30                  	
27                  	7                   	0                   	1                   	30                  	
28                  	8                   	0                   	1                   	30                  	
29                  	4                   	1                   	1                   	30                  	
30                  	2                   	1                   	1                   	30                  	
31                  	4                   	1                   	1                   	30                  	
32                  	5                   	0                   	1                   	30                  	
33                  	5                   	1                   	1                   	30                  	
34                  	9                   	1                   	1                   	30                  	
35                  	3                   	0                   	1                   	30                  	
36                  	8                   	1                   	1                   	30                  	
37                  	7                   	0                   	1                   	30                  	
38                  	4                   	0                   	1                   	30                  	
39                  	9                   	0                   	1                   	30                  	
40                  	7                   	0                   	0                   	60                  	
41                  	8                   	0                   	0                   	60                  	
42                  	7                   	0                   	0                   	30                  	
43                  	9                   	1                   	0                   	60                  	
44                  	9                   	0                   	0                   	60                  	
45                  	5                   	1                   	0                   	30                  	
46                  	6                   	1                   	0                   	60                  	
47                  	6                   	0                   	0                   	60                  	
48                  	2                   	0                   	0                   	60                  	
49                  	7                   	0                   	0                   	60                  	
50                  	7                   	0                   	0                   	30                  	
51                  	3                   	1                   	0                   	60                  	
52                  	4                   	1                   	0                   	60                  	
53                  	5                   	1                   	0                   	60                  	
54                  	6                   	0                   	0                   	60                  	
55                  	5                   	1                   	0                   	30                  	
56                  	0                   	1                   	0                   	60                  	
57                  	3                   	1                   	0                   	60                  	
58                  	1                   	0                   	0                   	60                  	
59                  	5                   	0                   	0                   	60                  	
60                  	8                   	0                   	0                   	30                  	
61                  	7                   	0                   	0                   	30                  	
62                  	7                   	0                   	0                   	60                  	
63                  	8                   	1                   	0                   	60                  	
64                  	0                   	1                   	0                   	60                  	
65                  	9                   	0                   	0                   	30                  	
66                  	9                   	1                   	0                   	30                  	
67                  	3                   	1                   	0                   	60                  	
68                  	5                   	1                   	0                   	60                  	
69                  	6                   	0                   	0                   	60                  	
70                  	8                   	0                   	0                   	60                  	
71                  	2                   	1                   	0                   	60                  	
72                  	9                   	1                   	0                   	60                  	
73                  	3                   	1                   	0                   	60                  	
74                  	1                   	1                   	0                   	60                  	
75                  	7                   	0                   	0                   	60                  	
76                  	8                   	0                   	0                   	30                  	
77                  	1                   	0                   	0                   	60                  	
78                  	2                   	1                   	0                   	60                  	
79                  	6                   	1                   	0                   	60                  	
80                  	5                   	1                   	0                   	30                  	
81                  	1                   	0                   	0                   	60                  	
82                  	4                   	1                   	0                   	30                  	
83                  	0                   	1                   	0                   	60                  	
84                  	8                   	1                   	0                   	60                  	
85                  	4                   	0                   	0                   	60                  	
86                  	4                   	1                   	0                   	60                  	
87                  	4                   	0                   	0                   	60                  	
88                  	3                   	1                   	0                   	60                  	
89                  	6                   	0                   	0                   	60                  	
********************************************************************************************************************************************************************************************************
