************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	3                   	0                   	1                   	30                  	
1                   	9                   	0                   	1                   	30                  	
2                   	4                   	0                   	1                   	30                  	
3                   	0                   	0                   	1                   	30                  	
4                   	7                   	0                   	1                   	30                  	
5                   	8                   	0                   	1                   	30                  	
6                   	1                   	0                   	1                   	30                  	
7                   	8                   	0                   	1                   	30                  	
8                   	2                   	0                   	1                   	30                  	
9                   	6                   	1                   	1                   	30                  	
10                  	9                   	1                   	1                   	30                  	
11                  	4                   	1                   	1                   	30                  	
12                  	0                   	1                   	1                   	30                  	
13                  	5                   	1                   	1                   	30                  	
14                  	5                   	1                   	1                   	30                  	
15                  	2                   	1                   	1                   	30                  	
16                  	2                   	1                   	1                   	30                  	
17                  	6                   	1                   	1                   	30                  	
18                  	8                   	0                   	1                   	30                  	
19                  	5                   	0                   	1                   	30                  	
20                  	0                   	1                   	1                   	30                  	
21                  	1                   	0                   	1                   	30                  	
22                  	4                   	1                   	1                   	30                  	
23                  	2                   	1                   	1                   	30                  	
24                  	5                   	0                   	1                   	30                  	
25                  	6                   	1                   	1                   	30                  	
26                  	8                   	1                   	1                   	30                  	
27                  	5                   	0                   	1                   	30                  	
28                  	1                   	0                   	1                   	30                  	
29                  	3                   	0                   	1                   	30                  	
30                  	3                   	0                   	1                   	30                  	
31                  	7                   	0                   	1                   	30                  	
32                  	1                   	0                   	1                   	30                  	
33                  	0                   	0                   	1                   	30                  	
34                  	5                   	0                   	1                   	30                  	
35                  	5                   	1                   	1                   	30                  	
36                  	2                   	1                   	1                   	30                  	
37                  	1                   	1                   	1                   	30                  	
38                  	2                   	1                   	1                   	30                  	
39                  	9                   	1                   	1                   	30                  	
40                  	1                   	0                   	0                   	60                  	
41                  	3                   	0                   	0                   	60                  	
42                  	5                   	1                   	0                   	60                  	
43                  	0                   	1                   	0                   	60                  	
44                  	5                   	1                   	0                   	60                  	
45                  	8                   	1                   	0                   	60                  	
46                  	8                   	1                   	0                   	60                  	
47                  	3                   	0                   	0                   	60                  	
48                  	0                   	1                   	0                   	60                  	
49                  	1                   	0                   	0                   	30                  	
50                  	8                   	1                   	0                   	30                  	
51                  	6                   	1                   	0                   	60                  	
52                  	6                   	0                   	0                   	60                  	
53                  	0                   	0                   	0                   	60                  	
54                  	7                   	0                   	0                   	60                  	
55                  	8                   	0                   	0                   	60                  	
56                  	6                   	0                   	0                   	60                  	
57                  	1                   	1                   	0                   	60                  	
58                  	3                   	1                   	0                   	60                  	
59                  	7                   	1                   	0                   	60                  	
60                  	7                   	1                   	0                   	60                  	
61                  	2                   	0                   	0                   	60                  	
62                  	8                   	1                   	0                   	60                  	
63                  	4                   	0                   	0                   	60                  	
64                  	0                   	1                   	0                   	30                  	
65                  	3                   	1                   	0                   	60                  	
66                  	1                   	0                   	0                   	60                  	
67                  	7                   	1                   	0                   	60                  	
68                  	4                   	0                   	0                   	60                  	
69                  	5                   	0                   	0                   	60                  	
70                  	8                   	1                   	0                   	60                  	
71                  	4                   	0                   	0                   	60                  	
72                  	7                   	0                   	0                   	30                  	
73                  	2                   	1                   	0                   	30                  	
74                  	5                   	0                   	0                   	60                  	
75                  	8                   	1                   	0                   	60                  	
76                  	0                   	0                   	0                   	30                  	
77                  	4                   	0                   	0                   	60                  	
78                  	8                   	1                   	0                   	60                  	
79                  	6                   	1                   	0                   	60                  	
80                  	2                   	0                   	0                   	30                  	
81                  	8                   	1                   	0                   	60                  	
82                  	1                   	1                   	0                   	60                  	
83                  	3                   	1                   	0                   	60                  	
84                  	5                   	0                   	0                   	60                  	
85                  	7                   	0                   	0                   	60                  	
86                  	0                   	1                   	0                   	30                  	
87                  	2                   	0                   	0                   	60                  	
88                  	4                   	1                   	0                   	60                  	
89                  	7                   	0                   	0                   	30                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	null                	0                   	0                   	10000               	0                   	null                	1                   	90                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 301 311 321 331 341 351 361 371 381 391 401 411 421 431 441 451 461 471 481 491 501 511 521 531 541 551 561 571 581 591 601 611 621 631 641 651 661 671 681 691 701 711 721 731 741 751 761 771 781 791 801 811 821 831 841 851 861 871 881 891 	
************************************************************************************************************************************************************************************************************************************************************************************************************
