********************************************************************************************************************************************************************************************************
basic info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
********************************************************************************************************************************************************************************************************
resource availability
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
********************************************************************************************************************************************************************************************************
engine info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	3                   	1                   	1                   	30                  	
1                   	6                   	0                   	1                   	30                  	
2                   	8                   	0                   	1                   	30                  	
3                   	1                   	1                   	1                   	30                  	
4                   	6                   	1                   	1                   	30                  	
5                   	9                   	0                   	1                   	30                  	
6                   	3                   	0                   	1                   	30                  	
7                   	7                   	1                   	1                   	30                  	
8                   	2                   	1                   	1                   	30                  	
9                   	7                   	1                   	1                   	30                  	
10                  	1                   	1                   	1                   	30                  	
11                  	4                   	1                   	1                   	30                  	
12                  	8                   	1                   	1                   	30                  	
13                  	9                   	0                   	1                   	30                  	
14                  	0                   	1                   	1                   	30                  	
15                  	3                   	0                   	1                   	30                  	
16                  	7                   	0                   	1                   	30                  	
17                  	2                   	1                   	1                   	30                  	
18                  	3                   	1                   	1                   	30                  	
19                  	8                   	0                   	1                   	30                  	
20                  	5                   	0                   	1                   	30                  	
21                  	9                   	1                   	1                   	30                  	
22                  	6                   	0                   	1                   	30                  	
23                  	2                   	0                   	1                   	30                  	
24                  	3                   	0                   	1                   	30                  	
25                  	3                   	0                   	1                   	30                  	
26                  	7                   	1                   	1                   	30                  	
27                  	8                   	1                   	1                   	30                  	
28                  	8                   	0                   	1                   	30                  	
29                  	0                   	0                   	1                   	30                  	
30                  	6                   	1                   	1                   	30                  	
31                  	8                   	1                   	1                   	30                  	
32                  	8                   	1                   	1                   	30                  	
33                  	0                   	1                   	1                   	30                  	
34                  	2                   	1                   	1                   	30                  	
35                  	0                   	0                   	1                   	30                  	
36                  	0                   	1                   	1                   	30                  	
37                  	3                   	0                   	1                   	30                  	
38                  	5                   	0                   	1                   	30                  	
39                  	7                   	0                   	1                   	30                  	
40                  	9                   	0                   	0                   	60                  	
41                  	5                   	1                   	0                   	60                  	
42                  	0                   	1                   	0                   	60                  	
43                  	1                   	0                   	0                   	60                  	
44                  	6                   	1                   	0                   	60                  	
45                  	9                   	1                   	0                   	30                  	
46                  	4                   	0                   	0                   	30                  	
47                  	9                   	0                   	0                   	60                  	
48                  	3                   	0                   	0                   	60                  	
49                  	8                   	1                   	0                   	60                  	
50                  	2                   	0                   	0                   	60                  	
51                  	4                   	1                   	0                   	60                  	
52                  	3                   	1                   	0                   	60                  	
53                  	6                   	1                   	0                   	60                  	
54                  	5                   	0                   	0                   	60                  	
55                  	8                   	1                   	0                   	60                  	
56                  	8                   	1                   	0                   	60                  	
57                  	4                   	0                   	0                   	30                  	
58                  	2                   	0                   	0                   	60                  	
59                  	3                   	0                   	0                   	60                  	
60                  	5                   	1                   	0                   	30                  	
61                  	6                   	1                   	0                   	30                  	
62                  	6                   	0                   	0                   	60                  	
63                  	1                   	1                   	0                   	30                  	
64                  	1                   	0                   	0                   	60                  	
65                  	6                   	1                   	0                   	60                  	
66                  	3                   	1                   	0                   	30                  	
67                  	2                   	0                   	0                   	60                  	
68                  	1                   	1                   	0                   	60                  	
69                  	4                   	0                   	0                   	60                  	
70                  	7                   	0                   	0                   	60                  	
71                  	2                   	1                   	0                   	30                  	
72                  	0                   	0                   	0                   	30                  	
73                  	3                   	1                   	0                   	30                  	
74                  	0                   	0                   	0                   	60                  	
75                  	6                   	1                   	0                   	60                  	
76                  	9                   	0                   	0                   	60                  	
77                  	9                   	1                   	0                   	60                  	
78                  	5                   	0                   	0                   	60                  	
79                  	1                   	1                   	0                   	30                  	
80                  	9                   	1                   	0                   	60                  	
81                  	1                   	0                   	0                   	30                  	
82                  	6                   	1                   	0                   	60                  	
83                  	9                   	0                   	0                   	30                  	
84                  	0                   	0                   	0                   	60                  	
85                  	9                   	0                   	0                   	60                  	
86                  	5                   	0                   	0                   	60                  	
87                  	2                   	0                   	0                   	30                  	
88                  	2                   	1                   	0                   	60                  	
89                  	2                   	1                   	0                   	30                  	
********************************************************************************************************************************************************************************************************
