********************************************************************************************************************************************************************************************************
basic info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
********************************************************************************************************************************************************************************************************
resource availability
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
********************************************************************************************************************************************************************************************************
engine info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	3                   	1                   	1                   	30                  	
1                   	2                   	0                   	1                   	30                  	
2                   	6                   	1                   	1                   	30                  	
3                   	2                   	0                   	1                   	30                  	
4                   	5                   	1                   	1                   	30                  	
5                   	8                   	1                   	1                   	30                  	
6                   	9                   	0                   	1                   	30                  	
7                   	1                   	0                   	1                   	30                  	
8                   	1                   	1                   	1                   	30                  	
9                   	0                   	1                   	1                   	30                  	
10                  	1                   	1                   	1                   	30                  	
11                  	7                   	1                   	1                   	30                  	
12                  	7                   	0                   	1                   	30                  	
13                  	7                   	1                   	1                   	30                  	
14                  	1                   	0                   	1                   	30                  	
15                  	1                   	1                   	1                   	30                  	
16                  	8                   	0                   	1                   	30                  	
17                  	3                   	0                   	1                   	30                  	
18                  	0                   	0                   	1                   	30                  	
19                  	7                   	0                   	1                   	30                  	
20                  	8                   	1                   	1                   	30                  	
21                  	2                   	1                   	1                   	30                  	
22                  	1                   	0                   	1                   	30                  	
23                  	5                   	0                   	1                   	30                  	
24                  	3                   	1                   	1                   	30                  	
25                  	5                   	1                   	1                   	30                  	
26                  	6                   	1                   	1                   	30                  	
27                  	5                   	0                   	1                   	30                  	
28                  	8                   	1                   	1                   	30                  	
29                  	1                   	1                   	1                   	30                  	
30                  	8                   	1                   	1                   	30                  	
31                  	6                   	1                   	1                   	30                  	
32                  	5                   	1                   	1                   	30                  	
33                  	4                   	1                   	1                   	30                  	
34                  	1                   	1                   	1                   	30                  	
35                  	8                   	1                   	1                   	30                  	
36                  	0                   	1                   	1                   	30                  	
37                  	0                   	0                   	1                   	30                  	
38                  	8                   	1                   	1                   	30                  	
39                  	0                   	0                   	1                   	30                  	
40                  	7                   	1                   	0                   	60                  	
41                  	1                   	1                   	0                   	30                  	
42                  	6                   	1                   	0                   	60                  	
43                  	9                   	1                   	0                   	60                  	
44                  	8                   	0                   	0                   	60                  	
45                  	1                   	0                   	0                   	60                  	
46                  	7                   	0                   	0                   	60                  	
47                  	1                   	0                   	0                   	60                  	
48                  	4                   	0                   	0                   	60                  	
49                  	1                   	0                   	0                   	60                  	
50                  	7                   	1                   	0                   	60                  	
51                  	9                   	0                   	0                   	60                  	
52                  	3                   	0                   	0                   	60                  	
53                  	3                   	1                   	0                   	60                  	
54                  	0                   	0                   	0                   	60                  	
55                  	6                   	0                   	0                   	60                  	
56                  	0                   	0                   	0                   	60                  	
57                  	0                   	0                   	0                   	60                  	
58                  	1                   	0                   	0                   	60                  	
59                  	7                   	0                   	0                   	30                  	
60                  	7                   	0                   	0                   	60                  	
61                  	0                   	0                   	0                   	30                  	
62                  	4                   	1                   	0                   	30                  	
63                  	5                   	1                   	0                   	60                  	
64                  	7                   	0                   	0                   	60                  	
65                  	3                   	1                   	0                   	60                  	
66                  	6                   	1                   	0                   	60                  	
67                  	9                   	1                   	0                   	60                  	
68                  	6                   	1                   	0                   	60                  	
69                  	2                   	0                   	0                   	30                  	
70                  	3                   	0                   	0                   	60                  	
71                  	7                   	1                   	0                   	60                  	
72                  	0                   	1                   	0                   	60                  	
73                  	1                   	0                   	0                   	60                  	
74                  	9                   	0                   	0                   	60                  	
75                  	4                   	0                   	0                   	60                  	
76                  	0                   	1                   	0                   	60                  	
77                  	7                   	1                   	0                   	60                  	
78                  	7                   	0                   	0                   	60                  	
79                  	2                   	1                   	0                   	30                  	
80                  	9                   	1                   	0                   	60                  	
81                  	4                   	0                   	0                   	60                  	
82                  	4                   	0                   	0                   	60                  	
83                  	8                   	0                   	0                   	60                  	
84                  	2                   	1                   	0                   	30                  	
85                  	3                   	0                   	0                   	30                  	
86                  	6                   	0                   	0                   	60                  	
87                  	7                   	0                   	0                   	30                  	
88                  	3                   	0                   	0                   	60                  	
89                  	4                   	1                   	0                   	60                  	
********************************************************************************************************************************************************************************************************
