********************************************************************************************************************************************************************************************************
basic info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
********************************************************************************************************************************************************************************************************
resource availability
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
********************************************************************************************************************************************************************************************************
engine info
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	8                   	1                   	1                   	30                  	
1                   	7                   	1                   	1                   	30                  	
2                   	0                   	1                   	1                   	30                  	
3                   	6                   	1                   	1                   	30                  	
4                   	8                   	0                   	1                   	30                  	
5                   	9                   	0                   	1                   	30                  	
6                   	2                   	1                   	1                   	30                  	
7                   	8                   	1                   	1                   	30                  	
8                   	2                   	1                   	1                   	30                  	
9                   	3                   	0                   	1                   	30                  	
10                  	8                   	1                   	1                   	30                  	
11                  	8                   	1                   	1                   	30                  	
12                  	4                   	1                   	1                   	30                  	
13                  	0                   	0                   	1                   	30                  	
14                  	1                   	1                   	1                   	30                  	
15                  	5                   	0                   	1                   	30                  	
16                  	3                   	0                   	1                   	30                  	
17                  	7                   	1                   	1                   	30                  	
18                  	2                   	0                   	1                   	30                  	
19                  	3                   	1                   	1                   	30                  	
20                  	6                   	1                   	1                   	30                  	
21                  	4                   	1                   	1                   	30                  	
22                  	0                   	0                   	1                   	30                  	
23                  	4                   	1                   	1                   	30                  	
24                  	8                   	0                   	1                   	30                  	
25                  	6                   	1                   	1                   	30                  	
26                  	7                   	0                   	1                   	30                  	
27                  	0                   	0                   	1                   	30                  	
28                  	7                   	0                   	1                   	30                  	
29                  	5                   	0                   	1                   	30                  	
30                  	7                   	0                   	1                   	30                  	
31                  	5                   	1                   	1                   	30                  	
32                  	3                   	1                   	1                   	30                  	
33                  	8                   	0                   	1                   	30                  	
34                  	0                   	0                   	1                   	30                  	
35                  	7                   	0                   	1                   	30                  	
36                  	1                   	1                   	1                   	30                  	
37                  	1                   	0                   	1                   	30                  	
38                  	0                   	1                   	1                   	30                  	
39                  	1                   	0                   	1                   	30                  	
40                  	8                   	1                   	0                   	60                  	
41                  	3                   	1                   	0                   	60                  	
42                  	7                   	0                   	0                   	60                  	
43                  	5                   	0                   	0                   	60                  	
44                  	6                   	1                   	0                   	60                  	
45                  	0                   	1                   	0                   	60                  	
46                  	6                   	0                   	0                   	60                  	
47                  	1                   	1                   	0                   	60                  	
48                  	2                   	0                   	0                   	30                  	
49                  	2                   	1                   	0                   	60                  	
50                  	5                   	0                   	0                   	60                  	
51                  	6                   	0                   	0                   	60                  	
52                  	2                   	0                   	0                   	60                  	
53                  	5                   	1                   	0                   	60                  	
54                  	5                   	1                   	0                   	60                  	
55                  	2                   	0                   	0                   	60                  	
56                  	8                   	0                   	0                   	30                  	
57                  	6                   	1                   	0                   	60                  	
58                  	7                   	1                   	0                   	30                  	
59                  	6                   	0                   	0                   	60                  	
60                  	0                   	0                   	0                   	60                  	
61                  	2                   	0                   	0                   	30                  	
62                  	7                   	1                   	0                   	60                  	
63                  	3                   	0                   	0                   	60                  	
64                  	0                   	0                   	0                   	60                  	
65                  	8                   	1                   	0                   	60                  	
66                  	9                   	1                   	0                   	30                  	
67                  	8                   	0                   	0                   	60                  	
68                  	0                   	0                   	0                   	60                  	
69                  	9                   	0                   	0                   	60                  	
70                  	9                   	0                   	0                   	60                  	
71                  	1                   	0                   	0                   	60                  	
72                  	9                   	0                   	0                   	60                  	
73                  	6                   	1                   	0                   	60                  	
74                  	9                   	1                   	0                   	60                  	
75                  	3                   	1                   	0                   	60                  	
76                  	5                   	1                   	0                   	30                  	
77                  	5                   	0                   	0                   	30                  	
78                  	5                   	0                   	0                   	60                  	
79                  	1                   	0                   	0                   	30                  	
80                  	9                   	0                   	0                   	60                  	
81                  	8                   	1                   	0                   	60                  	
82                  	9                   	1                   	0                   	60                  	
83                  	4                   	1                   	0                   	60                  	
84                  	5                   	1                   	0                   	60                  	
85                  	5                   	1                   	0                   	30                  	
86                  	0                   	1                   	0                   	30                  	
87                  	3                   	0                   	0                   	60                  	
88                  	3                   	0                   	0                   	60                  	
89                  	6                   	1                   	0                   	60                  	
********************************************************************************************************************************************************************************************************
