************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_0       	6381ms            	5742ms            	3409645ms         	3405380ms         	2784639ms           	|0.588889          	0.466667          	0.633333          	0.655556          	0.655556            	|35                	34                	36                	35                	34                  	|7.000000          	7.888889          	5.722222          	6.933333          	6.966667            	|33.877778         	38.544444         	32.866667         	33.422222         	33.744444           	|4240.370370       	5618.148148       	3762.222222       	3558.518519       	3569.259259         	|
0_1       	6536ms            	10884ms           	2597358ms         	2699559ms         	2087073ms           	|0.622222          	0.566667          	0.700000          	0.733333          	0.777778            	|29                	29                	27                	29                	30                  	|5.866667          	5.466667          	4.066667          	4.611111          	2.644444            	|32.944444         	37.355556         	32.555556         	29.244444         	29.222222           	|3875.925926       	4578.518519       	3085.185185       	2641.481481       	2196.296296         	|
0_2       	8447ms            	10324ms           	2619694ms         	2841006ms         	2087932ms           	|0.488889          	0.477778          	0.622222          	0.633333          	0.766667            	|32                	30                	31                	31                	32                  	|8.166667          	8.188889          	6.200000          	7.033333          	3.522222            	|36.277778         	38.355556         	34.233333         	31.688889         	28.111111           	|5320.370370       	5500.740741       	3918.888889       	3722.962963       	2270.370370         	|
0_3       	10209ms           	9660ms            	2724980ms         	2589309ms         	2279664ms           	|0.566667          	0.588889          	0.644444          	0.688889          	0.711111            	|33                	31                	33                	34                	33                  	|6.788889          	5.444444          	5.211111          	5.211111          	5.466667            	|31.955556         	34.000000         	31.466667         	29.688889         	27.777778           	|4398.518519       	4244.444444       	3604.444444       	3100.740741       	2814.814815         	|
0_4       	9934ms            	13657ms           	2896797ms         	3027765ms         	2474791ms           	|0.622222          	0.522222          	0.666667          	0.677778          	0.711111            	|37                	35                	35                	35                	36                  	|7.344444          	6.922222          	4.977778          	6.844444          	5.200000            	|33.322222         	36.755556         	33.255556         	32.444444         	29.855556           	|3888.518519       	5002.962963       	3441.851852       	3303.703704       	2884.074074         	|
0_5       	8967ms            	11036ms           	2979172ms         	3142943ms         	2581994ms           	|0.566667          	0.511111          	0.666667          	0.688889          	0.677778            	|35                	32                	33                	36                	35                  	|6.644444          	6.511111          	5.855556          	5.188889          	3.533333            	|31.344444         	34.700000         	31.322222         	27.411111         	27.811111           	|4378.148148       	5045.555556       	3377.407407       	3024.814815       	3149.259259         	|
0_6       	9511ms            	9878ms            	2546765ms         	2556167ms         	2226234ms           	|0.533333          	0.411111          	0.633333          	0.644444          	0.633333            	|40                	39                	38                	40                	41                  	|7.788889          	6.511111          	5.355556          	6.322222          	6.111111            	|36.555556         	38.677778         	34.400000         	33.777778         	32.855556           	|4885.185185       	6178.148148       	3813.333333       	3681.481481       	3761.851852         	|
0_7       	9780ms            	6319ms            	2530771ms         	2546437ms         	2030194ms           	|0.511111          	0.500000          	0.622222          	0.655556          	0.755556            	|33                	33                	33                	35                	33                  	|8.788889          	7.166667          	5.722222          	6.833333          	4.188889            	|35.077778         	37.400000         	33.444444         	33.588889         	27.644444           	|5058.148148       	5246.666667       	3892.592593       	3564.074074       	2365.925926         	|
0_8       	10810ms           	6024ms            	2359547ms         	2368683ms         	2131707ms           	|0.488889          	0.400000          	0.566667          	0.600000          	0.588889            	|39                	38                	38                	40                	39                  	|9.077778          	8.388889          	6.688889          	8.522222          	8.755556            	|35.900000         	37.666667         	33.488889         	33.777778         	33.466667           	|5307.777778       	6255.555556       	4449.629630       	4125.925926       	4226.666667         	|
0_9       	10021ms           	6586ms            	2485854ms         	2613958ms         	2357731ms           	|0.588889          	0.577778          	0.700000          	0.744444          	0.755556            	|33                	33                	32                	33                	31                  	|5.655556          	5.611111          	4.544444          	5.055556          	4.122222            	|32.911111         	34.744444         	31.333333         	28.200000         	28.566667           	|4208.148148       	4380.370370       	3044.444444       	2495.555556       	2396.666667         	|
0_10      	7469ms            	5941ms            	2075928ms         	2176241ms         	1984794ms           	|0.522222          	0.455556          	0.622222          	0.644444          	0.633333            	|40                	36                	38                	37                	37                  	|8.744444          	7.833333          	7.233333          	6.488889          	6.622222            	|35.100000         	36.777778         	33.433333         	29.088889         	32.222222           	|4947.777778       	5670.370370       	3892.222222       	3525.185185       	3740.740741         	|
0_11      	8694ms            	6604ms            	2408381ms         	2421089ms         	1980948ms           	|0.544444          	0.488889          	0.666667          	0.644444          	0.655556            	|34                	33                	35                	35                	36                  	|6.611111          	7.188889          	5.833333          	5.977778          	6.600000            	|31.988889         	35.133333         	31.866667         	29.888889         	29.888889           	|4621.851852       	5282.222222       	3395.555556       	3551.851852       	3440.740741         	|
0_12      	10287ms           	6304ms            	2435756ms         	2467499ms         	1874041ms           	|0.611111          	0.566667          	0.711111          	0.722222          	0.777778            	|27                	27                	28                	26                	28                  	|5.955556          	5.255556          	3.844444          	4.688889          	2.777778            	|33.255556         	34.800000         	30.800000         	30.188889         	28.600000           	|3997.407407       	4493.333333       	2915.555556       	2784.074074       	2175.555556         	|
0_13      	8809ms            	6986ms            	2402882ms         	2563065ms         	1789507ms           	|0.588889          	0.555556          	0.677778          	0.688889          	0.744444            	|35                	35                	36                	34                	36                  	|6.600000          	6.500000          	5.222222          	5.833333          	3.911111            	|32.900000         	35.244444         	31.522222         	30.877778         	28.333333           	|4207.777778       	4619.259259       	3272.962963       	3140.370370       	2500.000000         	|
0_14      	10052ms           	7368ms            	2823378ms         	2894172ms         	2139842ms           	|0.577778          	0.522222          	0.711111          	0.733333          	0.755556            	|32                	28                	30                	27                	27                  	|7.211111          	6.022222          	4.844444          	4.655556          	3.666667            	|33.144444         	35.955556         	31.255556         	29.922222         	28.977778           	|4327.037037       	4976.296296       	2930.740741       	2664.074074       	2410.370370         	|
0_15      	11240ms           	6874ms            	2824617ms         	2871760ms         	2104940ms           	|0.577778          	0.488889          	0.655556          	0.666667          	0.655556            	|34                	34                	33                	34                	37                  	|7.844444          	7.666667          	5.577778          	6.844444          	6.900000            	|33.166667         	37.022222         	31.455556         	30.655556         	31.911111           	|4327.777778       	5345.185185       	3492.962963       	3355.185185       	3508.148148         	|
